id,name,description,industry,location,founded_date,stage,employee_count,website,business_model,revenue_model,status
startup_0,Robinson,Progressive fresh-thinking attitude syndicate front-end partnerships,SaaS,Philadelphia,2013-02-12,Series C,112,https://robinson.com,B2B2C,SaaS,Closed
startup_1,DigitalLogic,Profit-focused multi-state collaboration extend open-source synergies,SaaS,Washington DC,2011-11-16,Growth,119,https://digitallogic.com,B2B,Advertising,Active
startup_2,FusionHub,Persevering bottom-line info-mediaries matrix granular relationships,FinTech,Atlanta,2012-07-04,Pre-seed,219,https://fusionhub.com,B2C,Freemium,Acquired
startup_3,Harris,Multi-channeled tertiary customer loyalty matrix wireless info-mediaries,MarTech,Miami,2019-07-18,Pre-seed,209,https://harris.com,Marketplace,Freemium,Active
startup_4,CloudAnalytics,Progressive scalable extranet incubate B2C methodologies,IoT,Chicago,2014-05-24,Series C,207,https://cloudanalytics.com,Platform,Commission,Closed
startup_5,"Mcguire, Duncan and Evans",Networked actuating initiative benchmark extensible convergence,SaaS,Los Angeles,2012-10-25,Series B,445,"https://mcguire,duncanandevans.com",Platform,Transaction,Active
startup_6,ApexAnalytics,Vision-oriented directional knowledgebase repurpose leading-edge initiatives,Gaming,Chicago,2025-04-27,Seed,129,https://apexanalytics.com,Marketplace,SaaS,Active
startup_7,"Smith, Oconnell and Cain",Distributed optimizing access grow innovative action-items,AI/ML,Denver,2011-05-31,Series A,484,"https://smith,oconnellandcain.com",B2B,Commission,Active
startup_8,FusionHub,Focused systematic installation expedite rich eyeballs,AgriTech,Portland,2018-04-26,Series A,278,https://fusionhub.com,B2C,Transaction,Active
startup_9,FusionCore,Ameliorated client-driven capacity whiteboard cross-platform systems,HRTech,Washington DC,2017-12-03,Series C,106,https://fusioncore.com,Marketplace,Commission,Active
startup_10,MetaLogic,Multi-lateral interactive benchmark repurpose global ROI,AgriTech,San Diego,2013-11-22,Series A,318,https://metalogic.com,Marketplace,Advertising,Active
startup_11,VertexCore,Ameliorated optimal strategy extend global convergence,AgriTech,New York,2021-06-25,Series A,7,https://vertexcore.com,B2B,Transaction,Active
startup_12,Mcguire-Miller,User-centric dedicated orchestration aggregate cross-media supply-chains,SaaS,Denver,2022-01-21,Series A,98,https://mcguire-miller.com,Marketplace,Transaction,Active
startup_13,ApexBase,Sharable user-facing alliance repurpose transparent convergence,AgriTech,San Diego,2017-10-02,Series B,244,https://apexbase.com,B2B2C,Freemium,Active
startup_14,"Barr, Reynolds and Rodgers",Enterprise-wide cohesive time-frame benchmark rich infrastructures,Blockchain,San Francisco,2012-08-02,Growth,46,"https://barr,reynoldsandrodgers.com",B2B,Advertising,Active
startup_15,SmartSolutions,Mandatory system-worthy system engine expedite frictionless web-readiness,AgriTech,Austin,2013-04-15,Pre-seed,243,https://smartsolutions.com,B2C,SaaS,Active
startup_16,MetaAnalytics,Switchable multi-state concept disintermediate one-to-one initiatives,AgriTech,Dallas,2020-07-13,Seed,390,https://metaanalytics.com,B2B,Freemium,Active
startup_17,Zuniga PLC,Sharable solution-oriented pricing structure re-contextualize strategic users,SaaS,Miami,2024-10-06,Series B,94,https://zunigaplc.com,Platform,Freemium,Active
startup_18,DataHub,Reverse-engineered background forecast morph web-enabled users,LegalTech,Austin,2013-12-11,Series B,426,https://datahub.com,Marketplace,Commission,Active
startup_19,FusionPlatform,Pre-emptive tangible instruction set harness leading-edge communities,EdTech,Boston,2024-11-28,Series C,207,https://fusionplatform.com,Marketplace,SaaS,Active
startup_20,"Taylor, Mcdaniel and Ochoa",Upgradable well-modulated website synthesize synergistic partnerships,E-commerce,Austin,2012-07-08,Series B,330,"https://taylor,mcdanielandochoa.com",B2B2C,SaaS,Active
startup_21,SmartPlatform,Cloned impactful analyzer evolve end-to-end methodologies,CleanTech,Dallas,2016-11-03,Series B,205,https://smartplatform.com,Marketplace,SaaS,Active
startup_22,FusionCore,Business-focused even-keeled core drive revolutionary models,CleanTech,Seattle,2022-02-10,Pre-seed,202,https://fusioncore.com,B2B,Commission,Active
startup_23,SmartAnalytics,Organized disintermediate website repurpose open-source paradigms,HealthTech,Nashville,2015-08-27,Series B,162,https://smartanalytics.com,B2C,Advertising,Active
startup_24,SecureSolutions,User-centric reciprocal secured line mesh interactive infrastructures,AI/ML,Seattle,2013-05-17,Pre-seed,3,https://securesolutions.com,B2C,Advertising,Active
startup_25,SmartPlatform,Public-key asynchronous implementation architect intuitive info-mediaries,LegalTech,Los Angeles,2014-03-26,Series C,377,https://smartplatform.com,B2B2C,Advertising,Closed
startup_26,Watts-Adams,Synergistic discrete adapter re-contextualize transparent info-mediaries,SaaS,Boston,2014-03-24,Series C,378,https://watts-adams.com,Marketplace,Transaction,Active
